"kode_unit","nama_unit","tipe_unit","latitude","longitude","radius_meter","alamat","created_at","updated_at","is_active","id"
HO,Head Office,head_office,-6.93210054,107.56748432,100,,2025-11-19 11:08:53.079,2025-11-19 11:08:53.079,true,7
D127,Dauky Purwakarta,store,-6.55531811,107.44402872,100,,2025-11-19 11:08:53.079,2025-11-19 11:08:53.079,true,2
D147,Dauky Pasar Baru Heritage,store,-6.91719568,107.60431600,100,,2025-11-19 11:08:53.079,2025-11-19 11:08:53.079,true,3
D142,Dauky Cirebon,store,-6.71119287,108.54617040,100,,2025-11-19 11:08:53.079,2025-11-19 11:08:53.079,true,4
Z003,Ngagel Surabaya,store,-7.29324744,112.75758600,100,,2025-11-28 09:24:43.252,2025-11-28 09:24:43.252,true,14
Z008,Elzatta PGS Surabaya,store,-7.24601954,112.73190966,100,,2025-11-28 09:32:35.141,2025-11-28 09:32:35.141,true,15
Z010,Elzatta Pondok Kelapa,store,-6.24702092,106.92221563,100,,2025-11-28 09:34:23.777,2025-11-28 09:34:23.777,true,16
Z014,Elzatta Tegal 1 (Rita Mall),store,-6.87014151,109.11989054,100,,2025-11-28 09:35:21.652,2025-11-28 09:35:21.652,true,17
Z015,Elzatta Sidoarjo,store,-7.44893530,112.71155025,100,,2025-11-28 09:40:25.403,2025-11-28 09:40:25.403,true,21
D111,Dauky Pgs Surabaya,store,-7.24577022,112.73210461,100,,2025-11-19 11:08:53.079,2025-11-19 11:08:53.079,true,1
Z021,Elzatta Pekanbaru,store,0.50604827,101.41633833,100,,2025-11-28 09:42:11.963,2025-11-28 09:42:11.963,true,22
Z022,Elzatta Madiun,store,-7.62143207,111.53610060,100,,2025-11-28 09:43:08.000,2025-11-28 09:43:08.000,true,23
Z024,Elzatta Purwakarta,store,-6.55525416,107.44415746,100,,2025-11-28 09:45:04.350,2025-11-28 09:45:04.350,true,24
Z027,Elzatta Lampung,store,-5.37978716,105.25425003,100,,2025-11-28 09:46:01.645,2025-11-28 09:46:01.645,true,25
D301,Shoope Dauky,store,-6.93216444,107.56741457,100,,2025-11-19 11:08:53.079,2025-11-19 11:08:53.079,true,5
D313,Tiktok Dauky,store,-6.93216444,107.56741457,100,,2025-11-19 11:08:53.079,2025-11-19 11:08:53.079,true,6
Z029,Elzatta Tasikmalaya,store,-7.32611096,108.22440442,100,,2025-11-28 09:49:26.005,2025-11-28 09:49:26.005,true,26
Z030,Elzatta Rangkasbitung,store,-6.35750634,106.25195930,100,,2025-11-28 09:50:51.025,2025-11-28 09:50:51.025,true,27
Z032,Elzatta Cilacap,store,-7.70023499,109.02627005,100,,2025-11-28 09:51:46.820,2025-11-28 09:51:46.820,true,28
